Feature,Importance
cp,0.15237680596725514
ca,0.11728993789870668
thalach,0.11400884796955058
thal,0.1108696520677006
oldpeak,0.10336219452453348
age,0.08882443355702895
exang,0.07983577200738178
chol,0.06739634730123321
trestbps,0.06610330403754809
slope,0.044215237952502595
sex,0.028876261110003822
restecg,0.016378455197566057
fbs,0.010462750408989066
